Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Ветчина,14.0,24.0,0.0,270.0
Ветчина DAK Датская,18.0,4.0,1.0,112.0
Ветчина в форме,22.6,20.9,0.0,278.0
Ветчина Велком Говяжья вареная,19.0,5.5,0.0,130.0
Ветчина Велком из окорока вареная,18.0,6.0,0.0,130.0
Ветчина Венеция из мяса индеек,13.2,5.4,2.6,112.0
Ветчина ВкусВилл из индейки с травами,20.8,2.6,0.0,109.0
Ветчина Дымов с окороком,10.0,3.0,4.0,83.0
Ветчина из индейки обезжиренная,15.0,1.0,2.0,77.0
Ветчина Империя Вкуса из индейки,11.0,3.0,7.0,99.0
Ветчина Останкино Мраморная вареная,11.0,20.0,0.0,224.0
Ветчина Останкино нежная из индейки,10.0,10.0,5.0,154.0
Ветчина Останкино нежная из свиного окорока,8.0,13.0,3.0,166.0
Ветчина Папа может с индейкой,13.0,3.0,0.0,100.0
Ветчина Пармская,24.4,22.5,0.1,300.0
Ветчина Рублёвский Для завтрака из свинины,12.0,15.0,0.0,183.0
Вешенки маринованные Steinhauer,1.0,1.5,0.0,23.0
Вешенки свежие,2.5,0.3,6.5,38.0
Вигна,3.0,0.4,18.8,90.0
Визига,1.2,0.1,6.0,28.0
Винегрет овощной готовый,1.8,3.7,8.8,75.0
Винегрет особый готовый,6.3,18.8,15.9,218.0
Винный камень,0.0,0.0,0.0,
Вино Asti Mondoro белое полусладкое игристое,0.0,0.0,9.0,78.0
Вино Riunite D'Oro белое полусладкое игристое,0.0,0.0,6.0,69.0
Вино Riunite Lambrusco Emilia красное полусладкое игристое,0.0,0.0,6.0,69.0
Вино Riunite Lambrusco Rose розовое полусладкое игристое,0.0,0.0,6.0,69.0
Вино белое десертное 16%,0.5,0.0,16.0,153.0
Вино белое Мускат,0.0,0.0,5.0,82.0
Вино белое Рислинг,0.0,0.0,4.0,80.0
Вино белое Совиньон,0.0,0.0,2.0,81.0
Вино белое столовое 11%,0.2,0.0,0.2,65.0
Вино белое сухое,0.1,0.0,0.6,66.0
Вино белое Херес,0.0,0.0,3.0,126.0
Вино красное Божоле Нуво,2.5,0.0,0.0,95.0
Вино красное Бургундское,0.0,0.0,4.0,86.0
Вино красное десертное,0.5,0.0,20.0,172.0
Вино красное Кагор,0.0,0.0,16.0,147.0
Вино красное Киндзмараули,0.5,0.0,20.0,172.0
Вино красное Кьянти,0.1,0.0,2.7,84.0
Вино красное столовое 12%,0.3,0.0,0.2,71.0
Вино красное сухое,0.2,0.0,0.3,68.0
Вино красное Хванчкара,0.1,0.0,3.0,83.0
Вино медовое,0.0,0.0,21.3,71.0
Виноград,0.6,0.2,16.8,65.0
Виноград белый Дамские пальчики,0.6,0.2,13.5,60.0
Виноград белый кишмиш,0.7,0.2,17.2,69.0
Виноград фиолетовый ранний,0.6,0.2,16.8,65.0
Виноградный компот,0.5,0.0,19.7,77.0
Виноградный сок,0.3,0.0,14.0,54.0
Виски,0.0,0.0,0.4,235.0
Вишнёвый компот,0.3,0.2,24.0,99.0
Вишнёвый нектар,0.1,0.0,12.0,50.0
Вишнёвый сок,0.7,0.0,10.2,47.0
Вишня,0.8,0.5,11.3,52.0
Вишня 4 сезона без косточки,0.8,0.2,10.7,50.0
Вишня Hortex без косточки,0.9,0.4,9.9,49.0
Вишня вяленая,1.5,0.0,73.0,290.0
Вишня замороженная,0.9,0.4,11.0,46.0
Вишня консервированная,0.8,0.2,10.6,45.0
Вишня сушеная,1.5,0.0,73.0,290.0
Вобла вяленая,46.4,5.5,0.0,235.0
Вобла копчёная,31.1,6.3,0.0,181.0
Вобла свежая,18.0,2.8,0.0,97.0
Вода,0.0,0.0,0.0,
Вода минеральная,0.0,0.0,0.0,
Вода содовая,0.0,0.0,0.0,
Водка,0.0,0.0,0.1,235.0
Водка анисовая,0.1,0.1,0.5,225.0
Водоросли бурые,1.7,0.6,8.3,43.0
Водоросли зелёные,1.5,0.0,5.0,25.0
Водоросли красные,1.5,0.0,5.0,25.0
Водоросль вакаме,3.0,0.6,8.6,45.0
Водоросль далс,1.5,0.0,5.0,25.0
Водоросль ирландский мох (карраген),1.5,0.2,11.0,49.0
Водоросль кантен,0.5,0.0,6.3,26.0
Водоросль комбу,8.3,8.3,10.0,77.0
Водоросль лиму,1.7,0.2,4.3,25.0
Водоросль нори,46.1,0.1,41.0,349.0
Водоросль порфира,5.8,0.3,4.8,35.0
Водоросль спирулина,4.2,2.5,9.9,79.0
Водоросль ульва,1.9,0.0,3.8,25.0
Водоросль уми будо,1.5,0.4,4.8,25.0
Водоросль фукус,3.0,0.6,8.6,35.0
Воздушный рис,6.3,0.5,89.8,402.0
Волован,7.9,29.9,35.9,435.0
Газированный напиток Байкал Черноголовка,0.0,0.0,10.0,40.0
Газированный напиток Золото Саян Черноголовка,0.0,0.0,9.0,40.0
Газированный напиток Тархун Черноголовка,0.0,0.0,10.0,40.0
Галангал (корень),1.8,0.7,15.7,80.0
Галангал сушеный,9.1,5.9,58.3,347.0
Галеты Nordic из овса с брусникой,9.0,14.0,61.0,420.0
Галеты Любятово классические,11.1,1.2,76.0,365.0
Ганаш,4.9,34.5,52.5,542.0
Ганаш белый,3.9,37.2,48.9,547.0
Ганаш шоколадный,4.9,34.5,52.5,542.0
Гарам масала,15.0,15.0,45.0,379.0
Гвоздика,6.0,20.1,27.0,323.0
Гейнер BSN True-Mass,33.1,11.0,45.5,434.0
Гейнер BSN True-Mass 1200,16.1,5.2,71.9,397.0
Гейнер CytoSport Cyto Gainer,36.0,3.0,49.3,367.0
Гейнер CytoSport Monster Mass,33.3,11.3,47.3,427.0
Гейнер Dymatize Elite Mass Gainer,36.7,4.0,51.3,400.0
Гейнер Dymatize Elite Mega Gainer,21.4,5.7,63.6,393.0
Гейнер Dymatize Mega Gainer,24.0,5.6,71.2,432.0
Гейнер Dymatize Super Mass Gainer,15.6,2.4,75.4,383.0
Гейнер Gaspari Real Mass,15.4,1.1,76.9,378.0
Гейнер IronMaxx Titan V.2.0,24.3,2.0,63.0,388.0
Гейнер Max Power Big Muscle,13.9,0.5,75.6,368.0
Гейнер Muscletech 100% Premium Mass Gainer,14.5,0.8,75.7,254.0
Гейнер Muscletech Mass Tech Hardcore Pro,23.3,1.5,68.3,379.0
Гейнер Muscletech Mass Tech Performance,25.0,3.5,69.0,392.0
Гейнер Optimum Pro Complex Gainer,37.7,5.0,53.5,409.0
Гейнер Optimum Serious Mass,15.0,1.0,76.0,374.0
Гейнер Performance Amino Gainer,30.8,4.2,51.7,362.0
Гейнер Performance Turbo Mass Gainer,21.3,2.6,62.9,360.0
Гейнер Ultimate Iso Mass Xtreme Gainer,42.5,4.6,52.3,425.0
Гейнер Ultimate Magic Milk,42.7,24.0,16.0,467.0
Гейнер Ultimate Massive Whey Gainer,33.3,2.4,56.4,381.0
Гейнер Ultimate Muscle Juice 2544,22.0,7.2,60.8,396.0
Гейнер Ultimate Muscle Juice Revolution 2600,21.1,5.3,64.2,385.0
Гематоген,6.0,3.0,75.7,354.0
Гематоген Русский детский,3.5,2.9,75.6,343.0
ГематогенКА,4.9,11.5,81.0,425.0
Гладкоголов,8.0,1.9,0.0,49.0
Глинтвейн August Weinxof,0.0,0.0,7.5,85.0
Глинтвейн St Lorenz,0.0,0.0,8.0,80.0
Глухарь,18.0,20.0,0.5,254.0
Глютен (клейковина пшеничная),76.0,0.4,9.0,350.0
Говядина,18.9,12.4,0.0,187.0
Говядина вареная,25.8,16.8,0.0,254.0
Говядина вареная нежирная,25.7,8.1,0.2,175.0
Говядина варено-копченая Ремит Отборная,16.0,4.0,1.0,100.0
Говядина жареная,32.7,28.1,0.0,384.0
Говядина копчено-вареная Мясницкий ряд Деликатесная,10.0,8.0,0.0,120.0
Говядина мраморная,18.0,10.0,0.0,170.0
Говядина постная,22.2,7.1,0.0,158.0
Говядина постная жареная,29.0,9.1,0.0,206.0
Говядина средней жирности,25.0,20.0,0.0,275.0
Говядина сырокопченая Егорьевская ФКГ Брезаола,20.0,3.0,1.5,113.0
Говядина сырокопченая МД Бородина нарезка,15.0,5.0,0.0,100.0
Говядина тушеная,16.8,18.3,0.0,232.0
Говядина тушеная Лента,15.0,17.0,0.0,213.0
Говяжий гуляш,14.0,9.2,2.6,148.0
Говяжий рубец,14.8,4.2,0.0,97.0
Говяжий стейк Самсон из тазобедренной части,18.0,4.0,0.0,108.0
Говяжий фарш,17.2,20.0,0.0,254.0
Говяжий фарш жирный,15.0,25.0,0.0,293.0
Говяжий фарш Мираторг Black Angus,12.0,35.0,0.0,360.0
Говяжий фарш постный,18.0,15.0,0.0,215.0
Говяжий фарш Самсон 7.5%,16.0,7.5,0.0,139.0
Говяжий хвост,19.7,6.5,0.0,137.0
Говяжий язык,12.2,10.9,0.0,146.0
Говяжий язык вареный,23.9,15.0,0.0,231.0
Говяжье вымя,12.3,13.7,0.0,173.0
Говяжье сердце,16.0,3.5,0.0,96.0
Говяжьи губы,15.0,5.0,0.0,105.0
Говяжьи легкие,16.2,2.5,0.0,92.0
Говяжьи легкие тушеные,20.4,3.7,0.0,120.0
Говяжьи мозги,11.7,8.6,0.0,124.0
Говяжьи ноги,25.0,6.6,0.0,159.0
Говяжьи почки,15.2,2.8,0.0,86.0
Говяжьи ребра,11.0,35.0,0.0,359.0
Говяжьи уши,25.2,2.3,0.0,122.0
Говяжьи хвосты Самсон,13.0,40.0,0.0,412.0
Говяжья вырезка,18.6,16.0,0.0,218.0
Говяжья вырезка филейная,20.1,3.5,0.0,113.0
Говяжья грудинка,19.3,15.7,0.0,217.0
Говяжья грудинка копчёная,7.6,66.8,0.0,632.0
Говяжья грудинка копчёно-варёная,10.0,55.0,0.0,540.0
Говяжья лопатка,19.4,6.6,0.0,137.0
Говяжья пашина,18.9,16.6,0.0,225.0
Говяжья печень,20.0,3.1,4.0,125.0
Говяжья печень жареная,22.9,10.2,3.9,199.0
Говяжья печень нежирная,17.4,3.1,0.0,98.0
Говяжья покромка,18.6,16.0,0.0,218.0
Говяжья тазобедренная часть (огузок),20.2,6.4,0.0,138.0
Говяжья тушенка,14.1,17.4,0.0,214.0
Говяжья шейная часть,19.4,6.4,0.0,135.0
Голавль,17.8,5.6,0.0,127.0
Голец,22.4,5.7,0.0,135.0
Голубика,1.0,0.0,8.2,35.0
Голубиное мясо,18.5,23.8,0.0,294.0
Горбуша горячего копчения,23.2,7.6,0.0,161.0
Горбуша жареная в кляре,17.1,16.4,15.2,281.0
Горбуша запеченная в шубе,13.2,13.1,3.2,184.0
Горбуша маринованная,20.9,5.8,0.0,136.0
Горбуша натуральная Балт-Фиш Плюс,15.0,1.5,0.0,75.0
Горбуша натуральная Русский рыбный мир,21.0,6.0,0.0,138.0
Горбуша отварная,22.9,7.8,0.0,168.0
Горбуша свежая,20.5,6.5,0.0,142.0
Горбуша солёная,22.1,9.0,0.0,169.0
Горбыль,22.5,6.3,0.0,153.0
Горох Makfa дробленый в пакетиках,23.0,1.5,48.1,299.0
Горох Makfa колотый,23.0,1.5,48.1,299.0
Горох Агро-Альянс колотый,23.0,1.0,62.0,350.0
Горох варёный,6.0,0.0,9.0,60.0
Горох лущеный,23.0,1.6,57.7,323.0
Горох маш,23.5,2.0,46.0,300.0
Горох маш (ростки),3.1,0.2,6.0,30.0
Горох маш Ярмарка Платинум,23.5,2.0,50.0,312.0
Горох Мистраль Айдахо,20.8,1.4,55.2,317.0
Горох Мистраль Орегон,20.0,1.5,66.4,327.0
Горох Пассим колотый,23.0,1.6,48.1,299.0
Горох сушёный,20.5,2.0,53.3,298.0
Горох Увелка колотый,20.0,2.0,67.0,360.0
Горошек зелёный,5.0,0.2,13.8,73.0
Горошек зелёный 4 сезона,5.1,0.2,13.1,75.0
Горошек зелёный 6 соток,3.1,0.0,6.5,38.0
Горошек зелёный Globus,5.5,0.7,7.4,74.0
Горошек зелёный Hortex,6.4,0.4,10.5,83.0
Горошек зелёный Бондюэль замороженный,6.9,0.4,19.4,85.0
Горошек зелёный Бондюэль Нежный,4.8,0.2,7.5,52.0
Горошек зелёный Бондюэль с молодой морковью,3.3,0.5,9.3,54.0
Горошек зелёный Бондюэль с морковью в кубиках,3.0,0.2,10.0,53.0
Горошек зелёный замороженный,6.4,0.4,16.3,72.0
Горошек зелёный Каждый день замороженный,5.0,0.2,8.5,55.0
Горошек зелёный консервированный,3.6,0.1,9.8,55.0
Горошек зелёный стручковый,5.0,0.2,8.3,55.0
Горчица,5.7,6.4,22.0,162.0
Горчица 365 дней Русская,7.4,2.0,10.8,91.0
Горчица белая (английская),37.1,11.1,5.9,271.0
Горчица дижонская,9.9,12.7,5.3,143.0
Горчица Махеевъ столовая Русская,9.6,10.9,11.0,181.0
Горчица русская (сарептская),8.7,11.0,11.6,185.0
Горчица чёрная (французская),37.1,11.1,5.9,271.0
Горчичный порошок,37.1,11.1,32.6,378.0
Горячий шоколад Fit Parad,3.0,5.5,42.0,230.0
Готовый завтрак Nestle Kosmostars звездочки и галактики медовые,7.2,5.0,76.2,400.0
Гранадилла,0.5,0.1,8.0,46.0
Гранат,0.9,0.0,13.9,52.0
Гранатовый сок,0.3,0.0,14.5,64.0
Грейпфрут,0.7,0.2,6.5,29.0
Грейпфрутовый нектар,0.2,0.0,10.4,44.0
Грейпфрутовый сок,0.9,0.2,6.5,30.0
Гремолата,3.7,0.4,7.6,49.0
Гренки пшеничные,11.4,9.0,65.7,390.0
Гренки пшеничные кубики салатные,12.3,5.2,61.6,342.0
Гренки ржаные с чесноком,9.5,12.5,22.1,239.0
Грецкий орех,15.2,65.2,7.0,654.0
Гречка Yelli с белыми грибами,13.0,3.5,52.0,290.0
Гречка зелёная вареная,4.0,1.0,21.0,110.0
Гречка зелёная для проращивания,10.8,3.2,54.4,295.0
Гречневая каша Nestle безмолочная,11.0,3.0,76.5,377.0
Гречневая каша Nestle безмолочная с черносливом,11.0,3.0,76.5,377.0
Гречневая каша Nestle молочная,14.0,10.0,66.0,410.0
Гречневая каша Nestle молочная с курагой,14.0,10.0,66.0,410.0
Гречневая каша вязкая на воде,3.2,0.8,17.1,90.0
Гречневая каша из крупы ядрица,3.0,3.4,14.6,101.0
Гречневая каша Малютка безмолочная,11.4,2.7,76.3,375.0
Гречневая каша Малютка молочная с черносливом,12.8,12.4,67.1,431.0
Гречневая каша на молоке,4.2,2.3,21.6,118.0
Гречневая каша с маслом,4.5,2.3,25.0,132.0
Гречневая каша ФрутоНяня безмолочная с яблоком,0.7,0.0,15.0,63.0
Гречневая кашка Heinz грушка абрикос смородинка молочная,12.0,2.9,76.2,379.0
