Name,Weight,TypeOfIngredient,Index
Чеснок,0.0,по вкусу,115
Пармезан,50.0,гр.,115
Чиабатта,200.0,гр.,115
Маслины,200.0,гр.,115
Тимьян,0.0,по вкусу,115
Базилик,0.0,по вкусу,115
Оливковое масло,2.0,ст.л.,115
"Все свежие травы можно заменить на сухие, например, приправой «итальянские травы».",0.0,по вкусу,115
Треска,500.0,гр.,116
Авокадо,1.0,шт.,116
Помидоры черри,8.0,шт.,116
Сливки 20 %,150.0,мл.,116
Креветки,200.0,гр.,116
Твердый сыр,50.0,гр.,116
Базилик,0.0,по вкусу,116
Оливковое масло,0.0,по вкусу,116
"Соль, черный перец - по вкусу.",0.0,по вкусу,116
Тесто,0.0,заголовок,117
Мука,250.0,гр.,117
Сахар,1.0,ст.л.,117
Яйцо,1.0,шт.,117
Холодная вода,2.0,ст.л.,117
Сливочное масло,100.0,гр.,117
Ванилин,0.0,мало,117
Соль,0.0,по вкусу,117
Для крема,0.0,заголовок,117
Сливочное масло,50.0,гр.,117
Сахар,50.0,гр.,117
Ванильный сахар,1.0,ч.л.,117
Творог,150.0,гр.,117
Яйцо,1.0,шт.,117
Начинка,0.0,заголовок,117
Фрукты,400.0,гр.,117
Корица,1.0,ч.л.,117
Сахар,1.0,ст.л.,117
Кукурузный крахмал,1.0,ст.л.,117
"для смазывания теста: желток -1 шт., сахар- 1 ст.л., молоко- 1 ст.л.",1.0,ст.л.,117
Помидор,5.0,шт.,118
Баклажан,3.0,шт.,118
Чеснок,0.0,по вкусу,118
Лук репчатый,1.0,шт.,118
Сельдерей,0.0,по вкусу,118
Оливки,150.0,гр.,118
Каперсы,50.0,гр.,118
Кедровые орешки,50.0,гр.,118
Петрушка,0.0,по вкусу,118
Базилик,0.0,по вкусу,118
Сахар,1.0,ст.л.,118
Бальзамический уксус,2.0,ст.л.,118
Оливковое масло,2.0,ст.л.,118
"Соль, черный перец - по вкусу.",0.0,по вкусу,118
Говядина,500.0,гр.,119
Лисички,500.0,гр.,119
Оливковое масло,1.0,ст.л.,119
Сливочное масло,1.0,ст.л.,119
Сливки 20 %,150.0,мл.,119
Сметана,150.0,мл.,119
Лук репчатый,1.0,шт.,119
Петрушка,0.0,по вкусу,119
Дижонская горчица,1.0,ч.л.,119
"Соль, черный перец - по вкусу.",0.0,по вкусу,119
Цветная капуста,500.0,гр.,120
Сливки 10%,130.0,мл.,120
Сливочное масло,30.0,гр.,120
Пармезан,50.0,гр.,120
Мускатный орех,0.0,по вкусу,120
Соль,0.0,по вкусу,120
Белый перец,0.0,по вкусу,120
Грудка индейки,700.0,гр.,121
Моцарелла,125.0,гр.,121
Бекон,150.0,гр.,121
Помидор,1.0,шт.,121
Базилик,0.0,по вкусу,121
Для маринада,0.0,заголовок,121
Белое сухое вино,0.0,по вкусу,121
Лимон,0.0,по вкусу,121
Мед,1.0,ст.л.,121
Паприка,0.0,по вкусу,121
Приправа для птицы,0.0,по вкусу,121
"Соль, черный перец – по вкусу.",0.0,по вкусу,121
Руккола,100.0,гр.,122
Лисички,300.0,гр.,122
Помидоры черри,100.0,гр.,122
Чеснок,0.0,по вкусу,122
Тимьян,0.0,по вкусу,122
Оливковое масло,1.0,ст.л.,122
Сливочное масло,1.0,ст.л.,122
Пармезан,0.0,по вкусу,122
Соус,0.0,заголовок,122
Голубой сыр,70.0,гр.,122
Сливки 20 %,70.0,мл.,122
Мускатный орех,0.0,по вкусу,122
Спагетти,250.0,гр.,123
Морепродукты,500.0,гр.,123
Петрушка,0.0,по вкусу,123
Белое вино,0.0,по вкусу,123
Помидоры черри,10.0,шт.,123
Чеснок,0.0,по вкусу,123
Орегано,0.0,по вкусу,123
Перец жгучий,0.0,по вкусу,123
Оливковое масло,1.0,ст.л.,123
Сливочное масло,1.0,ст.л.,123
Черный перец,0.0,по вкусу,123
Соль,0.0,по вкусу,123
"Можно еще использовать базилик, шпинат.",0.0,по вкусу,123
Тесто,0.0,заголовок,124
Мука,200.0,гр.,124
Сливочное масло,100.0,гр.,124
Яйцо,1.0,шт.,124
Сахарная пудра,2.0,ст.л.,124
Холодная вода,2.0,ст.л.,124
Соль,0.0,по вкусу,124
Начинка,0.0,заголовок,124
Рикотта,500.0,гр.,124
Нектарин,3.0,шт.,124
Яйцо,2.0,шт.,124
Сахар,100.0,гр.,124
Печенье,4.0,шт.,124
Ванильный сахар,15.0,гр.,124
Ликер,1.0,ст.л.,124
Зеленый стручковый горошек,0.0,по вкусу,125
Кокосовые сливки,20.0,мл.,125
Куриный бульон,200.0,мл.,125
Чеснок,0.0,по вкусу,125
Мята,0.0,по вкусу,125
Коричневый сахар,1.0,ч.л.,125
Оливковое масло,1.0,ст.л.,125
"Соль, черный перец - по вкусу.",0.0,по вкусу,125
Тесто,0.0,заголовок,126
Мука,200.0,гр.,126
Сливочное масло,100.0,гр.,126
Яйцо,1.0,шт.,126
Сахарная пудра,2.0,ст.л.,126
Холодная вода,2.0,ст.л.,126
Соль,0.0,по вкусу,126
Начинка,0.0,заголовок,126
Вишня,450.0,гр.,126
Белый шоколад,100.0,гр.,126
Кукурузный крахмал,2.0,ст.л.,126
Дополнительно,0.0,заголовок,126
Яйцо,1.0,шт.,126
Молоко,1.0,ч.л.,126
Сахар,1.0,ст.л.,126
Инжир,5.0,шт.,127
Сыр буррата,125.0,гр.,127
Пармская ветчина,0.0,по вкусу,127
Базилик,0.0,по вкусу,127
Заправка,0.0,заголовок,127
Оливковое масло,2.0,ст.л.,127
Кленовый сироп,1.0,ст.л.,127
Соль,0.0,по вкусу,127
Черный перец,0.0,по вкусу,127
Сок лимона,0.0,по вкусу,127
Чиабатта - несколько ломтиков.,0.0,по вкусу,127
Щука,600.0,гр.,128
Белый хлеб,60.0,гр.,128
Сливки 10%,100.0,мл.,128
Кабачок,1.0,шт.,128
Яйцо,1.0,шт.,128
Укроп,0.0,по вкусу,128
Зеленый лук,0.0,по вкусу,128
Кукурузный крахмал,1.0,ст.л.,128
Черный перец,0.0,по вкусу,128
Соль,0.0,по вкусу,128
Оливковое масло,0.0,по вкусу,128
Гарнир,0.0,заголовок,128
Цветная капуста,500.0,гр.,128
Сливки 10%,130.0,мл.,128
Сливочное масло,30.0,гр.,128
Пармезан,50.0,гр.,128
Мускатный орех,0.0,по вкусу,128
Соль,0.0,по вкусу,128
Белый перец,0.0,по вкусу,128
Шампиньоны,10.0,шт.,129
Баклажан,2.0,шт.,129
Крем-чиз,170.0,гр.,129
Петрушка,0.0,по вкусу,129
Чеснок,0.0,по вкусу,129
Тимьян,0.0,по вкусу,129
Помидор,1.0,шт.,129
Оливковое масло,0.0,по вкусу,129
"Можно использовать свежий розмарин, базилик или приправу итальянские травы.",0.0,по вкусу,129
Тесто,0.0,заголовок,130
Мука,200.0,гр.,130
Сливочное масло,100.0,гр.,130
Яйцо,1.0,шт.,130
Сахарная пудра,2.0,ст.л.,130
Холодная вода,2.0,ст.л.,130
Начинка,0.0,заголовок,130
Крыжовник,450.0,гр.,130
Сливки 33-35%,200.0,мл.,130
Желток,4.0,шт.,130
Яйцо,1.0,шт.,130
Сахар,100.0,гр.,130
Свинина,2.0,кг.,131
Кефир,700.0,мл.,131
Белое сухое вино,0.0,по вкусу,131
Лук репчатый,3.0,шт.,131
Паприка,1.0,шт.,131
Кориандр,1.0,шт.,131
Приправа итальянские травы,0.0,по вкусу,131
Черный перец,0.0,по вкусу,131
Соль,1.0,шт.,131
Петрушка,0.0,по вкусу,131
Маринованный лук,0.0,заголовок,131
Лук репчатый,2.0,шт.,131
Винный уксус,0.0,по вкусу,131
Сахар,1.0,шт.,131
Соль,0.0,по вкусу,131
Зелень,0.0,по вкусу,131
Можно использовать готовую приправу для шашлыка.,0.0,по вкусу,131
Тесто,0.0,заголовок,132
Мука,0.0,по вкусу,132
Сливочное масло,120.0,гр.,132
Желток,1.0,шт.,132
Соль,0.0,по вкусу,132
Сахар,2.0,ч.л.,132
Холодная вода,4.0,ст.л.,132
Начинка,0.0,заголовок,132
Яйцо,3.0,шт.,132
Кукурузный крахмал,2.0,ст.л.,132
Творог,500.0,гр.,132
Сахар,100.0,гр.,132
Сливочное масло,70.0,гр.,132
Цедра лимона,1.0,шт.,132
Начинка 2,0.0,заголовок,132
Малина,300.0,гр.,132
Кукурузный крахмал,2.0,ст.л.,132
Сахар,100.0,гр.,132
Курица,800.0,гр.,133
Болгарский перец,2.0,шт.,133
Помидоры черри,8.0,шт.,133
Шампиньоны,150.0,гр.,133
Лук шалот,1.0,шт.,133
Чеснок,0.0,по вкусу,133
Белое сухое вино,200.0,мл.,133
Базилик,0.0,по вкусу,133
Майоран,1.0,ст.л.,133
Оливковое масло,0.0,по вкусу,133
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,133
Сибас,2.0,шт.,134
Кокосовое молоко,400.0,мл.,134
Кинза,0.0,по вкусу,134
Имбирь,0.0,по вкусу,134
Соевый соус,3.0,ст.л.,134
Рыбный соус,2.0,ст.л.,134
Коричневый сахар,0.0,по вкусу,134
Помидоры черри,200.0,гр.,134
Спаржа,200.0,гр.,134
Лайм,1.0,шт.,134
Соль,0.0,по вкусу,134
Черный перец,0.0,по вкусу,134
Оливковое масло,0.0,по вкусу,134
Мука,125.0,гр.,135
Яйцо,2.0,шт.,135
Рикотта,250.0,гр.,135
Натуральный йогурт,120.0,гр.,135
Сахар,20.0,гр.,135
Ванильный сахар,10.0,гр.,135
Разрыхлитель,0.0,мало,135
Соль,0.0,по вкусу,135
Цедра лимона,0.0,по вкусу,135
Сливочное масло,20.0,гр.,135
Дополнительно,0.0,заголовок,135
Свежие ягоды,0.0,по вкусу,135
Кленовый сироп,0.0,по вкусу,135
Корейка баранины,1.0,кг.,136
Репчатый лук,5.0,шт.,136
Молотая зира,0.0,по вкусу,136
Кориандр,0.0,по вкусу,136
Соль,0.0,по вкусу,136
Черный перец,0.0,по вкусу,136
Растительное масло,2.0,ст.л.,136
Гранатовый сок,700.0,мл.,136
Соус,0.0,заголовок,136
Гранатовый сок,150.0,мл.,136
Красное сухое вино,50.0,мл.,136
Корица,0.0,мало,136
Ваниль,0.0,мало,136
Молотый мускатный орех,0.0,по вкусу,136
Сахар,3.0,ч.л.,136
Кукурузный крахмал,2.0,ч.л.,136
Соль,0.0,по вкусу,136
Тесто,0.0,заголовок,137
Мука,250.0,гр.,137
Сахар,1.0,ст.л.,137
Яйцо,1.0,шт.,137
Сливочное масло,100.0,гр.,137
Ванилин,0.0,мало,137
Для крема,0.0,заголовок,137
Сливочное масло,75.0,гр.,137
Сахар,70.0,гр.,137
Миндальная мука,75.0,гр.,137
Яйцо,1.0,шт.,137
Начинка,0.0,заголовок,137
Клубника,500.0,гр.,137
Миндальная стружка,0.0,по вкусу,137
Сахар,1.0,ст.л.,137
Кукурузный крахмал,1.0,ст.л.,137
Дополнительно,0.0,заголовок,137
Яйцо,1.0,шт.,137
Сахар,1.0,ст.л.,137
Молоко,1.0,ст.л.,137
Перепела,4.0,шт.,138
Бекон,200.0,гр.,138
Тимьян,0.0,по вкусу,138
Для маринада,0.0,заголовок,138
Апельсин,2.0,шт.,138
Соевый соус,100.0,мл.,138
Начинка,0.0,заголовок,138
Шампиньоны,150.0,гр.,138
Петрушка,0.0,по вкусу,138
Лук репчатый,1.0,шт.,138
Морковь,2.0,шт.,138
Оливковое масло,0.0,по вкусу,138
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,138
Мука,100.0,гр.,139
Оливковое масло,3.0,ст.л.,139
Желток,1.0,шт.,139
Твердый сыр,100.0,гр.,139
Сливочное масло,40.0,гр.,139
Базилик,0.0,по вкусу,139
Паприка,0.0,по вкусу,139
Мускатный орех,0.0,по вкусу,139
Соль,0.0,по вкусу,139
Баклажан,3.0,шт.,140
Кабачок,1.0,шт.,140
Болгарский перец,2.0,шт.,140
Шампиньоны,10.0,шт.,140
Для маринада,0.0,заголовок,140
Оливковое масло,5.0,ст.л.,140
Белое сухое вино,5.0,ст.л.,140
Приправа итальянские травы,1.0,ст.л.,140
Молотый мускатный орех,0.5,ст.л.,140
Паприка,0.5,ст.л.,140
Кинза,0.0,по вкусу,140
Чеснок,0.0,по вкусу,140
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,140
Кальмар,4.0,шт.,141
Помидор,2.0,шт.,141
Огурец,2.0,шт.,141
Маслины,10.0,шт.,141
Базилик,0.0,по вкусу,141
Оливковое масло,0.0,по вкусу,141
Бальзамический крем,0.0,по вкусу,141
Для маринада,0.0,заголовок,141
Вода,0.0,по вкусу,141
Лавровый лист,3.0,шт.,141
Черный перец горошком,5.0,шт.,141
Сахар,1.0,ст.л.,141
Яблочный уксус,1.0,ст.л.,141
Соль,1.0,ч.л.,141
Растительное масло,1.0,ст.л.,141
"Дополнительно: Твердый сыр (пармезан, грюер) по желанию.",0.0,по вкусу,141
Тесто,0.0,заголовок,142
Мука,300.0,гр.,142
Яйцо,1.0,шт.,142
Сливочное масло,70.0,гр.,142
Разрыхлитель,1.0,ч.л.,142
Сахар,70.0,гр.,142
Сметана,2.0,ст.л.,142
Соль,0.0,по вкусу,142
Начинка,0.0,заголовок,142
Творог,300.0,гр.,142
Белок,1.0,шт.,142
Ванильный сахар,15.0,гр.,142
Сахар,2.0,ст.л.,142
Мука,1.0,ст.л.,142
Сметана,2.0,ст.л.,142
1 желток 1 ст. л. молока для смазывания перед выпеканием,1.0,шт.,142
Треска,300.0,гр.,143
Форель,0.0,по вкусу,143
Сливки 10%,100.0,мл.,143
Белый хлеб,70.0,гр.,143
Яйцо,1.0,шт.,143
Репчатый лук,1.0,шт.,143
Петрушка,0.0,по вкусу,143
Базилик,0.0,по вкусу,143
Сливочное масло,1.0,ст.л.,143
Оливковое масло,0.0,по вкусу,143
Соль,0.0,по вкусу,143
Черный перец,0.0,по вкусу,143
Тесто,0.0,заголовок,144
Мука,200.0,гр.,144
Сахар,100.0,гр.,144
Сливочное масло,80.0,гр.,144
Яйцо,1.0,шт.,144
Соль,0.0,по вкусу,144
Ванилин,0.0,по вкусу,144
Свежие ягоды,300.0,гр.,145
Сливки 33-35%,200.0,мл.,145
Тесто,0.0,заголовок,145
Мука,200.0,гр.,145
Сахарная пудра,100.0,гр.,145
Яйцо,1.0,шт.,145
Сливочное масло,80.0,гр.,145
Ванильный сахар,7.0,гр.,145
Соль,0.0,по вкусу,145
Для крема,0.0,заголовок,145
Молоко,400.0,мл.,145
Яичный желток,3.0,шт.,145
Сахар,150.0,гр.,145
Мука,15.0,гр.,145
Кукурузный крахмал,15.0,гр.,145
Ванильный сахар,1.0,ст.л.,145
Кальмар,5.0,шт.,146
Панировочные сухари,3.0,ст.л.,146
Яйцо,1.0,шт.,146
Пармезан,100.0,шт.,146
Базилик,0.0,по вкусу,146
Тимьян,0.0,по вкусу,146
Петрушка,0.0,по вкусу,146
Маслины,50.0,гр.,146
Чеснок,0.0,по вкусу,146
Соус,0.0,заголовок,146
Консервированные томаты в собственном соку,400.0,гр.,146
Белое сухое вино,100.0,мл.,146
Чеснок,0.0,по вкусу,146
Петрушка,0.0,по вкусу,146
Оливковое масло,0.0,по вкусу,146
Соль,0.0,по вкусу,146
Сахар,0.0,по вкусу,146
Помидоры несколько штук для соуса дополнительно по желанию.,0.0,по вкусу,146
Листы для лазаньи,500.0,гр.,147
Пармеджано,200.0,гр.,147
Для соуса Болоньезе,0.0,по вкусу,147
Морковь,2.0,шт.,147
Стебель сельдерея,2.0,шт.,147
Лук репчатый,1.0,шт.,147
Помидор,2.0,шт.,147
Томаты протертые,400.0,гр.,147
Говяжий фарш,600.0,гр.,147
Красное сухое вино,200.0,мл.,147
Оливковое масло,0.0,по вкусу,147
Сахар,1.0,ч.л.,147
Тимьян,0.0,по вкусу,147
Для соуса Бешамель,0.0,по вкусу,147
Молоко,750.0,мл.,147
Мука,45.0,гр.,147
Сливочное масло,45.0,гр.,147
Молотый мускатный орех,0.0,мало,147
Приправа итальянские травы,0.0,по вкусу,147
"Соль, свежемолотый черный перец по вкусу",0.0,по вкусу,147
Бульон из птицы,1.0,шт.,148
Морковь,1.0,шт.,148
Чеснок,0.0,по вкусу,148
Корень имбиря,0.0,по вкусу,148
Шампиньоны,4.0,шт.,148
Стручковый горох,100.0,шт.,148
Мисо-паста,2.0,ст.л.,148
Соевый соус,0.0,по вкусу,148
Зеленый лук,0.0,по вкусу,148
Пшеничная лапша,100.0,шт.,148
Яйцо,0.0,по вкусу,148
Тофу,50.0,гр.,148
Водоросли нори,0.0,по вкусу,148
Растительное масло,0.0,по вкусу,148
"Дополнительно: Морковь -1 шт., небольшой кусочек корня сельдерея, репчатый лук, чеснок, корень имбиря -1 см.; стебли кинзы для бульона.",1.0,шт.,148
Треска,600.0,гр.,149
Морковь,4.0,шт.,149
Лук репчатый,3.0,шт.,149
Корень сельдерея,0.3,шт.,149
Мука,3.0,ст.л.,149
Томатная паста,2.0,ст.л.,149
Помидоры черри,5.0,шт.,149
Уксус из белого вина,1.0,ст.л.,149
Оливковое масло,0.0,по вкусу,149
Сахар,1.0,шт.,149
"Соль, черный перец, лавровый лист по вкусу",0.0,по вкусу,149
Творог,500.0,гр.,150
Яйцо,3.0,шт.,150
Манка,5.0,ст.л.,150
Сахар,4.0,ст.л.,150
Сметана,200.0,гр.,150
Ванильный сахар,1.0,ст.л.,150
Соль,0.0,по вкусу,150
Голубика,100.0,гр.,150
Соус,0.0,заголовок,150
Замороженные ягоды,100.0,шт.,150
Кукурузный крахмал,1.0,ч.л.,150
Сахар,1.0,ст.л.,150
Сливочное масло для смазывания и мука для присыпки формы.,0.0,по вкусу,150
Лапша гречневая,150.0,гр.,151
Грибы вешенки,150.0,гр.,151
Спаржа,150.0,гр.,151
Болгарский перец,150.0,гр.,151
Морепродукты,300.0,гр.,151
Темное кунжутное масло,1.0,ст.л.,151
Чеснок,0.0,по вкусу,151
Корень имбиря,0.0,по вкусу,151
Устричный соус,0.0,по вкусу,151
Соевый соус,0.0,по вкусу,151
"Для подачи кинза, кунжутные семена и лайм.",0.0,по вкусу,151
Тесто,0.0,заголовок,152
Мука,250.0,гр.,152
Сливочное масло,125.0,гр.,152
Соль,0.0,по вкусу,152
Холодная вода,4.0,ст.л.,152
Начинка,0.0,заголовок,152
Груша,2.0,шт.,152
Сливки 33-35%,150.0,мл.,152
Яйцо,3.0,шт.,152
Голубой сыр,100.0,гр.,152
Лук-порей,1.0,шт.,152
Сливочное масло,0.0,по вкусу,152
Кедровые орехи,50.0,гр.,152
Мускатный орех,0.0,по вкусу,152
,0.0,по вкусу,152
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,152
Баранина,1.0,шт.,153
Мука,3.0,ст.л.,153
Морковь,2.0,шт.,153
Лук шалот,0.0,по вкусу,153
Репа,2.0,шт.,153
Чеснок,0.0,по вкусу,153
Помидор,3.0,шт.,153
Корень сельдерея,0.0,по вкусу,153
Бульон,1.0,шт.,153
Мята,0.0,по вкусу,153
Тархун,0.0,по вкусу,153
Розмарин,0.0,по вкусу,153
Тимьян,0.0,по вкусу,153
Кориандр,1.0,ч.л.,153
"Соль, чёрный перец, оливковое масло-по вкусу.",0.0,по вкусу,153
Творог,500.0,гр.,154
Кокосовая стружка,60.0,гр.,154
Сливочное масло,100.0,гр.,154
Желток,2.0,шт.,154
Кокосовые сливки,20.0,мл.,154
Сахарная пудра,80.0,гр.,154
Ванильный сахар,15.0,гр.,154
Темный шоколад,0.0,по вкусу,154
Спагетти,200.0,гр.,155
Баклажан,1.0,шт.,155
Чеснок,0.0,по вкусу,155
Базилик,0.0,по вкусу,155
Кедровые орехи,100.0,гр.,155
Рикотта,150.0,шт.,155
Оливковое масло,0.0,по вкусу,155
Твердый сыр,0.0,по вкусу,155
Помидор,4.0,шт.,155
Оливки,10.0,шт.,155
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,155
Тесто,0.0,заголовок,156
Мука,350.0,гр.,156
Сливочное масло,200.0,гр.,156
Яйцо,2.0,шт.,156
Сахар,100.0,гр.,156
Соль,0.0,по вкусу,156
Разрыхлитель,1.0,ч.л.,156
Начинка,0.0,заголовок,156
Лимон,4.0,шт.,156
Яйцо,2.0,шт.,156
Сливки 33-35%,150.0,мл.,156
Сахар,150.0,гр.,156
Ванильный сахар,1.0,ст.л.,156
Кукурузный крахмал,3.0,ст.л.,156
Белый шоколад,50.0,гр.,156
Творог,500.0,гр.,157
Яйцо,1.0,шт.,157
Сахар,1.0,ст.л.,157
Ванильный сахар,1.0,ч.л.,157
Мука,0.0,по вкусу,157
Манка,1.0,ст.л.,157
Кокосовая стружка,2.0,ст.л.,157
Растительное масло,0.0,по вкусу,157
Феттучини,200.0,гр.,158
Креветки,200.0,гр.,158
Чеснок,0.0,по вкусу,158
Сливки 20 %,200.0,мл.,158
Белое сухое вино,70.0,мл.,158
Спаржа,150.0,гр.,158
Помидоры черри,150.0,гр.,158
Сливочное масло,0.0,по вкусу,158
Мускатный орех,0.0,по вкусу,158
Черный перец,0.0,по вкусу,158
Соль,0.0,по вкусу,158
"Твердый сыр, свежий базилик для подачи",0.0,по вкусу,158
Тесто,0.0,заголовок,159
Мука,250.0,гр.,159
Сливочное масло,125.0,гр.,159
Соль,0.0,по вкусу,159
Холодная вода,4.0,ст.л.,159
Начинка,0.0,заголовок,159
Бекон,200.0,гр.,159
Сливки 33-35%,50.0,мл.,159
Яйцо,5.0,шт.,159
Твердый сыр,30.0,гр.,159
Помидор,2.0,шт.,159
Петрушка,0.0,по вкусу,159
Мускатный орех,0.0,по вкусу,159
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,159
Тесто,0.0,заголовок,160
Мука,350.0,гр.,160
Сливочное масло,100.0,гр.,160
Сметана,100.0,гр.,160
Яйцо,1.0,шт.,160
Сахар,2.0,ст.л.,160
Соль,0.0,по вкусу,160
Сода,0.25,шт.,160
Начинка,0.0,заголовок,160
Замороженные ягоды,0.0,по вкусу,160
Клубника,400.0,гр.,160
Корица,1.0,ч.л.,160
Ванильный сахар,1.0,ст.л.,160
Сливочное масло,50.0,гр.,160
Миндальные лепестки,50.0,гр.,160
Кукурузный крахмал,3.0,ст.л.,160
Сахар,200.0,гр.,160
1 яйцо и несколько капель молока для смазывания теста.,1.0,шт.,160
Картофель,1.0,шт.,161
Чеснок,0.0,по вкусу,161
Розмарин,0.0,по вкусу,161
Оливковое масло,1.0,ст.л.,161
Соль,0.0,по вкусу,161
Черный перец,0.0,по вкусу,161
Куриные крылышки,1.0,кг.,162
Для маринада,0.0,заголовок,162
Соль,1.0,ст.л.,162
Сахар,1.0,ст.л.,162
Тимьян,0.0,по вкусу,162
Черный перец горошком,10.0,шт.,162
Чеснок,0.0,по вкусу,162
Лимон,1.0,шт.,162
Соус,0.0,заголовок,162
Кетчуп,200.0,мл.,162
Яблочный уксус,3.0,ст.л.,162
Горчица,2.0,ч.л.,162
Паприка,1.0,ч.л.,162
Гранулированный чеснок,1.0,ч.л.,162
Кайенский перец,0.0,ч.л.,162
Черный перец,1.0,ч.л.,162
Соль,1.0,ч.л.,162
Коричневый сахар,1.0,ст.л.,162
Курица,400.0,гр.,163
Болгарский перец,300.0,гр.,163
Шампиньоны,0.0,по вкусу,163
Красный лук,1.0,шт.,163
Натуральный йогурт,200.0,мл.,163
Дижонская горчица,4.0,ч.л.,163
Оливковое масло,0.0,по вкусу,163
"Соль, свежемолотый перец по вкусу, веточка тимьяна и несколько долек чеснока.",0.0,по вкусу,163
Баранина,1.0,кг.,164
Помидоры,1.0,кг.,164
Розмарин,0.0,по вкусу,164
Чеснок,0.0,по вкусу,164
"Соль,свежемолотый перец по вкусу",0.0,по вкусу,164
Блины,0.0,заголовок,165
Шпинат,125.0,гр.,165
Мука,125.0,гр.,165
Молоко,300.0,мл.,165
Яйцо,1.0,шт.,165
Сливочное масло,1.0,шт.,165
Сахар,1.0,ч.л.,165
Соль,0.0,по вкусу,165
Начинка,0.0,заголовок,165
Говяжья печень,700.0,гр.,165
Лук шалот,2.0,шт.,165
Сливочное масло,70.0,гр.,165
Крепкий алкоголь,50.0,мл.,165
Красное сухое вино,200.0,мл.,165
Творожный сыр,200.0,гр.,165
Оливковое масло,0.0,по вкусу,165
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,165
Мука,115.0,гр.,166
Яйцо,3.0,шт.,166
Молоко,140.0,мл.,166
Разрыхлитель,1.0,ч.л.,166
Сахар,1.0,ст.л.,166
Соль,0.0,по вкусу,166
"небольшая упаковка голубики, измельченный шоколад, банан или что придумаете)",0.0,по вкусу,166
Говядина,800.0,гр.,167
Мука,2.0,ст.л.,167
Лук шалот,2.0,шт.,167
Чеснок,0.0,по вкусу,167
Темное пиво,0.0,по вкусу,167
Тимьян,0.0,по вкусу,167
Помидоры черри,200.0,гр.,167
Вёшенки,400.0,гр.,167
Лавровый лист,0.0,по вкусу,167
Черный перец,0.0,по вкусу,167
Оливковое масло,0.0,по вкусу,167
Корень сельдерея,0.0,по вкусу,168
Картофель,1.0,шт.,168
Молоко,0.0,по вкусу,168
Сливочное масло,30.0,гр.,168
Пармезан,30.0,гр.,168
Мускатный орех,0.0,по вкусу,168
Лук резанец,0.0,по вкусу,168
Мускатный орех,0.0,по вкусу,168
"Соль,свежемолотый перец по вкусу",0.0,по вкусу,168
Мука,125.0,гр.,169
Яйцо,2.0,шт.,169
Молоко,120.0,мл.,169
Сливки,100.0,мл.,169
Сливочное масло,20.0,гр.,169
Сахар,2.0,ст.л.,169
Соль,0.0,по вкусу,169
Для несладких блинов сократить сахар!,0.0,по вкусу,169
Мука,350.0,гр.,170
Кефир,500.0,мл.,170
Яйцо,1.0,шт.,170
Сахар,2.0,ст.л.,170
Соль,1.0,ч.л.,170
Сода,0.0,ч.л.,170
Растительное масло,0.0,по вкусу,170
"Корица, ваниль по вкусу",0.0,по вкусу,170
Пшено,120.0,гр.,171
Молоко,500.0,мл.,171
Мандарин,2.0,шт.,171
Сгущённое молоко,2.0,ст.л.,171
Сливочное масло,20.0,гр.,171
Соль,0.0,по вкусу,171
Для подачи,0.0,заголовок,171
Банан,1.0,шт.,171
Сливочное масло,10.0,гр.,171
Сахар,20.0,гр.,171
Мука,400.0,гр.,172
Яйцо,2.0,шт.,172
Молоко,1.0,шт.,172
Сахар,2.0,ст.л.,172
Соль,1.0,ч.л.,172
Сода,1.0,ч.л.,172
Растительное масло,1.0,ст.л.,172
Начинка,0.0,заголовок,172
Свинина,350.0,гр.,172
Говядина,350.0,гр.,172
Морковь,100.0,гр.,172
Помидоры черри,70.0,гр.,172
Репчатый лук,1.0,шт.,172
Чеснок,1.0,шт.,172
Куриный бульон,250.0,мл.,172
Красное сухое вино,100.0,мл.,172
Тимьян,0.0,по вкусу,172
Сливочное масло,30.0,гр.,172
Оливковое масло,0.0,по вкусу,172
Для подачи,0.0,заголовок,172
Сметана,0.0,по вкусу,172
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,172
Тесто,0.0,заголовок,173
Мука,175.0,гр.,173
Сливочное масло,100.0,гр.,173
Яйцо,1.0,шт.,173
Сахар,50.0,гр.,173
Разрыхлитель,1.0,ч.л.,173
Соль,0.0,по вкусу,173
Начинка,0.0,заголовок,173
Варенье,200.0,гр.,173
Лимон,0.0,по вкусу,173
Кукурузный крахмал,1.0,ст.л.,173
Вёшенки,400.0,гр.,174
Авокадо,1.0,шт.,174
Помидоры черри,100.0,гр.,174
Шпинат,125.0,гр.,174
Миндальные лепестки,30.0,гр.,174
Оливковое масло,0.0,по вкусу,174
Соус,0.0,заголовок,174
Дижонская горчица,1.0,ст.л.,174
Мед,1.0,ст.л.,174
Оливковое масло,2.0,ст.л.,174
Бальзамический уксус,1.0,ст.л.,174
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,174
Тесто,0.0,заголовок,175
